event_id,name,type,start_date,end_date,intensity,notes,active,price_multiplier
hol-2025-04-24,יום השואה,holiday,2025-04-24,2025-04-24,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-04-30,יום הזיכרון,holiday,2025-04-30,2025-04-30,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-05-01,יום העצמאות,holiday,2025-05-01,2025-05-01,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-05-16,ל״ג בעומר,holiday,2025-05-16,2025-05-16,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-06-02,שבועות,holiday,2025-06-02,2025-06-02,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-09-23,ראש השנה,holiday,2025-09-23,2025-09-23,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-09-24,ראש השנה יום שני,holiday,2025-09-24,2025-09-24,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-10-02,יום כיפור,holiday,2025-10-02,2025-10-02,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-10-07,סוכות,holiday,2025-10-07,2025-10-07,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-10-14,שמחת תורה,holiday,2025-10-14,2025-10-14,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2025-12-15,חנוכה יום ראשון,holiday,2025-12-15,2025-12-15,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-03-03,פורים,holiday,2026-03-03,2026-03-03,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-04-02,פסח,holiday,2026-04-02,2026-04-02,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-04-08,שביעי של פסח,holiday,2026-04-08,2026-04-08,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-04-14,יום השואה,holiday,2026-04-14,2026-04-14,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-04-21,יום הזיכרון,holiday,2026-04-21,2026-04-21,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-04-22,יום העצמאות,holiday,2026-04-22,2026-04-22,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-05-05,ל״ג בעומר,holiday,2026-05-05,2026-05-05,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-05-22,שבועות,holiday,2026-05-22,2026-05-22,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-09-12,ראש השנה,holiday,2026-09-12,2026-09-12,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-09-13,ראש השנה יום שני,holiday,2026-09-13,2026-09-13,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-09-21,יום כיפור,holiday,2026-09-21,2026-09-21,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-09-26,סוכות,holiday,2026-09-26,2026-09-26,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-10-03,שמחת תורה,holiday,2026-10-03,2026-10-03,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2026-12-05,חנוכה יום ראשון,holiday,2026-12-05,2026-12-05,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-03-23,פורים,holiday,2027-03-23,2027-03-23,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-04-22,פסח,holiday,2027-04-22,2027-04-22,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-04-28,שביעי של פסח,holiday,2027-04-28,2027-04-28,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-05-04,יום השואה,holiday,2027-05-04,2027-05-04,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-05-11,יום הזיכרון,holiday,2027-05-11,2027-05-11,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-05-12,יום העצמאות,holiday,2027-05-12,2027-05-12,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-05-25,ל״ג בעומר,holiday,2027-05-25,2027-05-25,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-06-11,שבועות,holiday,2027-06-11,2027-06-11,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-10-02,ראש השנה,holiday,2027-10-02,2027-10-02,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-10-03,ראש השנה יום שני,holiday,2027-10-03,2027-10-03,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-10-11,יום כיפור,holiday,2027-10-11,2027-10-11,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-10-16,סוכות,holiday,2027-10-16,2027-10-16,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-10-23,שמחת תורה,holiday,2027-10-23,2027-10-23,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
hol-2027-12-25,חנוכה יום ראשון,holiday,2027-12-25,2027-12-25,1,"יובא מלוח החגים המובנה, ניתן לעריכה",True,1.0
war-swords-of-iron,"חרבות ברזל, מלחמת עזה",war,2023-10-07,2025-01-19,4,פרוץ המלחמה ב-7.10.2023; שלב א של הסכם הפסקת האש נכנס לתוקף ב-19.1.2025. נתון תפעולי לעריכת המפעיל.,True,1.0
special-gaza-ceasefire-a,"הפסקת אש בעזה, שלב א",special,2025-01-19,2025-03-17,2,"תקופת שלב א של ההסכם, שחרור חטופים.",True,1.0
war-gaza-renewed,חידוש הלחימה בעזה,war,2025-03-18,2025-10-10,3,חידוש הלחימה במרץ 2025; הפסקת אש במתווה הנשיא טראמפ ב-10.10.2025.,True,1.0
war-northern-arrows,"הסלמה בצפון מול חזבאללה, חצי הצפון",war,2024-09-17,2024-11-27,5,"פיצוץ מכשירי הקשר 17-18.9, חיסול נסראללה 27.9, תמרון קרקעי מ-1.10, הפסקת אש 27.11.2024.",True,1.0
special-iran-april-2024,"מתקפת איראן הראשונה, טילים וכטבמים",special,2024-04-13,2024-04-14,4,"מתקפה ישירה ראשונה מאיראן, רובה יורט.",True,1.0
special-iran-october-2024,מתקפת טילים בליסטיים מאיראן,special,2024-10-01,2024-10-01,5,כ-180 טילים בליסטיים לעבר ישראל.,True,1.0
war-rising-lion,"מלחמת ישראל איראן, עם כלביא",war,2025-06-13,2025-06-24,5,מטחי טילים בליסטיים כבדים על ערי ישראל; הפסקת אש 24.6.2025.,True,1.0
