Unnamed: 0,Campaign,Channel,Date,Start time,Duration,Spot type,Promotion,Pos. Block 1,Spots Block 1,Title,TVR,Date_dt,Start_dt,End_dt,hour_of_day,quarter_id,advertiser_id,break_id,position_in_break,channel,base_rate,prime_premium,pos1,pos2,pos3,pos_last,adv_premium,position_premium,total_premium,revenue_ils,is_target_channel,include_as_media,competitor_flag
1169,פ-חדשות סוף השבוע,קשת 12,02/11/2024,05:05:56,32,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.2,02/11/2024,02/11/2024 05:05,02/11/2024 05:06,5,1730523600,פ,2799,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,2016,TRUE,TRUE,FALSE
1170,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,05:06:28,76,פרומו,פרומו,0,0,[גלית ואילנית - עונה 2 ש.ח],1.1,02/11/2024,02/11/2024 05:06,02/11/2024 05:07,5,1730523600,פ,2799,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,5225,TRUE,TRUE,FALSE
1171,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,06:44:58,76,פרומו,פרומו,0,0,[פרספקטיבה תכנית ערבית],0.5,02/11/2024,02/11/2024 06:44,02/11/2024 06:46,6,1730529000,פ,2800,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,2280,TRUE,TRUE,FALSE
1172,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,06:46:18,6,חסות,ספוט,0,0,[פרספקטיבה תכנית ערבית],0.6,02/11/2024,02/11/2024 06:46,02/11/2024 06:46,6,1730529900,2024,2800,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,198,TRUE,TRUE,FALSE
1173,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,06:46:24,6,חסות,ספוט,0,0,[פרספקטיבה תכנית ערבית],0.6,02/11/2024,02/11/2024 06:46,02/11/2024 06:46,6,1730529900,2024,2800,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,189,TRUE,TRUE,FALSE
1174,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,06:46:30,6,חסות,ספוט,0,0,[פרספקטיבה תכנית ערבית],0.6,02/11/2024,02/11/2024 06:46,02/11/2024 06:46,6,1730529900,2024,2800,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,225,TRUE,TRUE,FALSE
1175,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,06:47:01,6,חסות,ספוט,0,0,[פרספקטיבה תכנית ערבית],0.5,02/11/2024,02/11/2024 06:47,02/11/2024 06:47,6,1730529900,2024,2801,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,180,TRUE,TRUE,FALSE
1176,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,06:47:07,6,חסות,ספוט,0,0,[פרספקטיבה תכנית ערבית],0.5,02/11/2024,02/11/2024 06:47,02/11/2024 06:47,6,1730529900,2024,2801,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,165,TRUE,TRUE,FALSE
1177,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,06:47:13,6,חסות,ספוט,0,0,[פרספקטיבה תכנית ערבית],0.5,02/11/2024,02/11/2024 06:47,02/11/2024 06:47,6,1730529900,2024,2801,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,157.5,TRUE,TRUE,FALSE
1178,פ-קשת 12 תדמיתי 2024 הגיבורים של השנה,קשת 12,02/11/2024,07:11:57,124,פרומו,פרומו,0,0,[המהדורה הצעירה 12],0.8,02/11/2024,02/11/2024 07:11,02/11/2024 07:14,7,1730530800,פ,2802,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,5952,TRUE,TRUE,FALSE
1179,פ-N12 פול פריים,קשת 12,02/11/2024,07:14:01,19,פרומו,פרומו,0,0,[המהדורה הצעירה 12],0.5,02/11/2024,02/11/2024 07:14,02/11/2024 07:14,7,1730530800,פ,2802,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,522.5,TRUE,TRUE,FALSE
1180,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,07:14:24,6,חסות,ספוט,0,0,[המהדורה הצעירה 12],0.5,02/11/2024,02/11/2024 07:14,02/11/2024 07:14,7,1730530800,2024,2802,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,157.5,TRUE,TRUE,FALSE
1181,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,07:14:30,6,חסות,ספוט,0,0,[המהדורה הצעירה 12],0.5,02/11/2024,02/11/2024 07:14,02/11/2024 07:14,7,1730530800,2024,2802,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,187.5,TRUE,TRUE,FALSE
1182,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,07:14:36,6,חסות,ספוט,0,0,[המהדורה הצעירה 12],0.5,02/11/2024,02/11/2024 07:14,02/11/2024 07:14,7,1730530800,2024,2802,5,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,187.5,TRUE,TRUE,FALSE
1183,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,07:15:07,6,חסות,ספוט,0,0,[המהדורה הצעירה 12],0.7,02/11/2024,02/11/2024 07:15,02/11/2024 07:15,7,1730531700,2024,2803,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,252,TRUE,TRUE,FALSE
1184,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,07:15:13,6,חסות,ספוט,0,0,[המהדורה הצעירה 12],0.7,02/11/2024,02/11/2024 07:15,02/11/2024 07:15,7,1730531700,2024,2803,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,231,TRUE,TRUE,FALSE
1185,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,07:15:19,6,חסות,ספוט,0,0,[המהדורה הצעירה 12],0.7,02/11/2024,02/11/2024 07:15,02/11/2024 07:15,7,1730531700,2024,2803,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,220.5,TRUE,TRUE,FALSE
1186,פ-הכוכב הבא 11,קשת 12,02/11/2024,07:58:13,60,פרומו,פרומו,0,0,[רון יוחננוב - ארוחה לכל המשפחה ש.ח] * [חדשות 12 - מבזק],2.5,02/11/2024,02/11/2024 07:58,02/11/2024 07:59,7,1730533500,פ,2804,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,9000,TRUE,TRUE,FALSE
1187,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,08:17:22,36,פרומו,פרומו,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.7,02/11/2024,02/11/2024 08:17,02/11/2024 08:17,8,1730535300,פ,2805,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,5832,TRUE,TRUE,FALSE
1188,2024-10 -  אנגלו סכסון — 60 שנות מצוינות,קשת 12,02/11/2024,08:18:02,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.5,02/11/2024,02/11/2024 08:18,02/11/2024 08:18,8,1730535300,2024,2805,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,825,TRUE,TRUE,FALSE
1189,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,08:18:12,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.5,02/11/2024,02/11/2024 08:18,02/11/2024 08:18,8,1730535300,2024,2805,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,787.5,TRUE,TRUE,FALSE
1190,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,08:18:18,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.5,02/11/2024,02/11/2024 08:18,02/11/2024 08:18,8,1730535300,2024,2805,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,937.5,TRUE,TRUE,FALSE
1191,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,08:18:24,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.5,02/11/2024,02/11/2024 08:18,02/11/2024 08:18,8,1730535300,2024,2805,5,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,937.5,TRUE,TRUE,FALSE
1192,2024-09 - נטוויז'ן - סלקום,קשת 12,02/11/2024,08:18:55,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.5,02/11/2024,02/11/2024 08:18,02/11/2024 08:19,8,1730535300,2024,2806,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,900,TRUE,TRUE,FALSE
1193,2024-10 - ישראכרט — ישראכרט - אחרי החגים,קשת 12,02/11/2024,08:19:01,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.3,02/11/2024,02/11/2024 08:19,02/11/2024 08:19,8,1730535300,2024,2806,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,759,TRUE,TRUE,FALSE
1194,2024-10 - קבוצת עזריאלי - פאלאס דיור מוגן,קשת 12,02/11/2024,08:19:07,6,חסות,ספוט,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.3,02/11/2024,02/11/2024 08:19,02/11/2024 08:19,8,1730535300,2024,2806,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,724.5,TRUE,TRUE,FALSE
1195,12+ קמפיין אפליקציה,קשת 12,02/11/2024,08:19:13,7,פרומו,פרומו,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.3,02/11/2024,02/11/2024 08:19,02/11/2024 08:19,8,1730535300,12+,2806,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,1006.25,TRUE,TRUE,FALSE
1196,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,08:19:20,43,פרומו,פרומו,0,0,[עוטף ישראל עם עומר מילר ש.ח],2.3,02/11/2024,02/11/2024 08:19,02/11/2024 08:20,8,1730535300,פ,2806,5,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,6181.25,TRUE,TRUE,FALSE
1197,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,08:39:04,41,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],2,02/11/2024,02/11/2024 08:39,02/11/2024 08:39,8,1730536200,פ,2807,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,4920,TRUE,TRUE,FALSE
1198,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,09:14:17,76,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],2.5,02/11/2024,02/11/2024 09:14,02/11/2024 09:15,9,1730538000,פ,2808,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,11400,TRUE,TRUE,FALSE
1199,דיור ביי דיזיין (יולי 2021),קשת 12,02/11/2024,09:15:37,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:15,02/11/2024 09:15,9,1730538900,דיור,2808,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,792,TRUE,TRUE,FALSE
1200,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,09:15:47,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:15,02/11/2024 09:15,9,1730538900,חסות,2808,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,756,TRUE,TRUE,FALSE
1201,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,09:15:53,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:15,02/11/2024 09:15,9,1730538900,חסות,2808,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,900,TRUE,TRUE,FALSE
1202,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,09:16:58,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:16,02/11/2024 09:17,9,1730538900,חסות,2809,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,864,TRUE,TRUE,FALSE
1203,חסות-בית חולים שיבא יולדות חדר חכם (מאי 2024),קשת 12,02/11/2024,09:17:04,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.5,02/11/2024,02/11/2024 09:17,02/11/2024 09:17,9,1730538900,חסות,2809,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,825,TRUE,TRUE,FALSE
1204,"2024-10 - קופ""ח מכבי - מכבי שירותי בריאות — קמפיין השקה מכבי",קשת 12,02/11/2024,09:17:18,70,פרסומת,ספוט,1,6,[אופירה ולוינסון ש.ח],2.5,02/11/2024,02/11/2024 09:17,02/11/2024 09:18,9,1730538900,2024,2809,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,9187.5,TRUE,TRUE,FALSE
1205,2024-08 - לוריאל - רויטליפט — רויטליפט לייזר פילר,קשת 12,02/11/2024,09:18:28,22,פרסומת,ספוט,2,6,[אופירה ולוינסון ש.ח],2.7,02/11/2024,02/11/2024 09:18,02/11/2024 09:18,9,1730538900,2024,2809,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,3712.5,TRUE,TRUE,FALSE
1206,2024-06 - פרוקטר & גמבל - אורל בי,קשת 12,02/11/2024,09:18:50,30,פרסומת,ספוט,3,6,[אופירה ולוינסון ש.ח],2.7,02/11/2024,02/11/2024 09:18,02/11/2024 09:19,9,1730538900,2024,2809,5,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,5062.5,TRUE,TRUE,FALSE
1207,2024-07 - שסטוביץ' - ריו מרה — ריו מרה אינסלטיסמה,קשת 12,02/11/2024,09:19:20,15,פרסומת,ספוט,4,6,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:19,02/11/2024 09:19,9,1730538900,2024,2809,6,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,2250,TRUE,TRUE,FALSE
1208,2024-06 - פרוקטר & גמבל - אריאל ולנור,קשת 12,02/11/2024,09:19:35,32,פרסומת,ספוט,5,6,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:19,02/11/2024 09:20,9,1730538900,2024,2809,7,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,4800,TRUE,TRUE,FALSE
1209,רוש פרמצבטיקה עיניים (יוני 2023),קשת 12,02/11/2024,09:20:07,31,פרסומת,ספוט,99,6,[אופירה ולוינסון ש.ח],2.5,02/11/2024,02/11/2024 09:20,02/11/2024 09:20,9,1730538900,רוש,2809,8,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,4843.75,TRUE,TRUE,FALSE
1210,2024-05 - זכותי — מחליפה סיעודי חסות עדויות,קשת 12,02/11/2024,09:20:47,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.5,02/11/2024,02/11/2024 09:20,02/11/2024 09:20,9,1730538900,2024,2809,9,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,937.5,TRUE,TRUE,FALSE
1211,Reckitt Benckiser Nurofen Non Stop Day 6sec,קשת 12,02/11/2024,09:20:53,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],2.5,02/11/2024,02/11/2024 09:20,02/11/2024 09:20,9,1730538900,Reckitt,2809,10,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,937.5,TRUE,TRUE,FALSE
1212,2024-05 - זכותי — מחליפה סיעודי חסות עדויות,קשת 12,02/11/2024,09:21:24,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],3.3,02/11/2024,02/11/2024 09:21,02/11/2024 09:21,9,1730538900,2024,2810,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,1188,TRUE,TRUE,FALSE
1213,Reckitt Benckiser Nurofen Non Stop Day 6sec,קשת 12,02/11/2024,09:21:30,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],3.3,02/11/2024,02/11/2024 09:21,02/11/2024 09:21,9,1730538900,Reckitt,2810,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,1089,TRUE,TRUE,FALSE
1214,פ-N12 פול פריים,קשת 12,02/11/2024,09:21:36,19,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],3.3,02/11/2024,02/11/2024 09:21,02/11/2024 09:21,9,1730538900,פ,2810,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,3291.75,TRUE,TRUE,FALSE
1215,פ-חדשות סוף השבוע,קשת 12,02/11/2024,09:21:55,32,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],3.3,02/11/2024,02/11/2024 09:21,02/11/2024 09:22,9,1730538900,פ,2810,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,6600,TRUE,TRUE,FALSE
1216,פ-מאסטר שף נבחרת החלומות,קשת 12,02/11/2024,09:40:43,37,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],3.2,02/11/2024,02/11/2024 09:40,02/11/2024 09:41,9,1730539800,פ,2811,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,7104,TRUE,TRUE,FALSE
1217,2024-10 - מפעל הפיס — קמפיין חכם,קשת 12,02/11/2024,09:41:25,52,פרסומת,ספוט,1,7,[אופירה ולוינסון ש.ח],2.9,02/11/2024,02/11/2024 09:41,02/11/2024 09:42,9,1730539800,2024,2811,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,8294,TRUE,TRUE,FALSE
1218,2024-03 - פלייכארד - פליי קארד,קשת 12,02/11/2024,09:42:17,30,פרסומת,ספוט,2,7,[אופירה ולוינסון ש.ח],2.7,02/11/2024,02/11/2024 09:42,02/11/2024 09:42,9,1730539800,2024,2811,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,4252.5,TRUE,TRUE,FALSE
1219,2024-09 - יד 2,קשת 12,02/11/2024,09:42:47,20,פרסומת,ספוט,3,7,[אופירה ולוינסון ש.ח],2.7,02/11/2024,02/11/2024 09:42,02/11/2024 09:43,9,1730539800,2024,2811,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,3375,TRUE,TRUE,FALSE
1220,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,09:43:07,28,פרסומת,ספוט,4,7,[אופירה ולוינסון ש.ח],2.8,02/11/2024,02/11/2024 09:43,02/11/2024 09:43,9,1730539800,2024,2811,5,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,4900,TRUE,TRUE,FALSE
1221,2024-10 - קומי כרטיסים,קשת 12,02/11/2024,09:43:35,28,פרסומת,ספוט,5,7,[אופירה ולוינסון ש.ח],2.8,02/11/2024,02/11/2024 09:43,02/11/2024 09:44,9,1730539800,2024,2811,6,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,4900,TRUE,TRUE,FALSE
1222,2024-09 -  פרפקט ליין,קשת 12,02/11/2024,09:44:03,30,פרסומת,ספוט,6,7,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:44,02/11/2024 09:44,9,1730539800,2024,2811,7,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,4500,TRUE,TRUE,FALSE
1223,אני גיטרה וחברים 30 שנה בלי בני אמדורסקי הופעה (נובמבר 2024),קשת 12,02/11/2024,09:44:33,25,פרסומת,ספוט,99,7,[אופירה ולוינסון ש.ח],2.4,02/11/2024,02/11/2024 09:44,02/11/2024 09:44,9,1730539800,אני,2811,8,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,3750,TRUE,TRUE,FALSE
1224,12+ קמפיין אפליקציה,קשת 12,02/11/2024,09:45:03,7,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],2.2,02/11/2024,02/11/2024 09:45,02/11/2024 09:45,9,1730540700,12+,2811,9,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,962.5,TRUE,TRUE,FALSE
1225,פ-הכוכב הבא 11,קשת 12,02/11/2024,09:45:10,60,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],2.2,02/11/2024,02/11/2024 09:45,02/11/2024 09:46,9,1730540700,פ,2811,10,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,8250,TRUE,TRUE,FALSE
1226,פ-ארץ נהדרת עונה 22,קשת 12,02/11/2024,10:18:41,34,פרומו,פרומו,0,0,[אופירה ולוינסון ש.ח],3.3,02/11/2024,02/11/2024 10:18,02/11/2024 10:19,10,1730542500,פ,2812,1,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.2,1.2,6732,TRUE,TRUE,FALSE
1227,דיור ביי דיזיין (יולי 2021),קשת 12,02/11/2024,10:19:19,6,חסות,ספוט,0,0,[אופירה ולוינסון ש.ח],3.4,02/11/2024,02/11/2024 10:19,02/11/2024 10:19,10,1730542500,דיור,2812,2,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.1,1.1,1122,TRUE,TRUE,FALSE
1228,2024-02 - אול'גובס - אולג'ובס — קמפיין מחפשי עבודה - פברואר,קשת 12,02/11/2024,10:19:33,26,פרסומת,ספוט,1,9,[אופירה ולוינסון ש.ח],3.4,02/11/2024,02/11/2024 10:19,02/11/2024 10:19,10,1730542500,2024,2812,3,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.05,1.05,4641,TRUE,TRUE,FALSE
1229,2024-10 - כאל — כאל - קמפיין הלוואות נובמבר 24,קשת 12,02/11/2024,10:19:59,24,פרסומת,ספוט,2,9,[אופירה ולוינסון ש.ח],3.4,02/11/2024,02/11/2024 10:19,02/11/2024 10:20,10,1730542500,2024,2812,4,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,5100,TRUE,TRUE,FALSE
1230,2024-10 - צ׳רי - צ'רי — חשמלית סנס,קשת 12,02/11/2024,10:20:23,28,פרסומת,ספוט,3,9,[אופירה ולוינסון ש.ח],2.7,02/11/2024,02/11/2024 10:20,02/11/2024 10:20,10,1730542500,2024,2812,5,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,4725,TRUE,TRUE,FALSE
1231,2024-10 -  מיקסקארד,קשת 12,02/11/2024,10:20:51,14,פרסומת,ספוט,4,9,[אופירה ולוינסון ש.ח],2.7,02/11/2024,02/11/2024 10:20,02/11/2024 10:21,10,1730542500,2024,2812,6,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,2362.5,TRUE,TRUE,FALSE
1232,2024-10 -  מנו ספנות,קשת 12,02/11/2024,10:21:05,20,פרסומת,ספוט,5,9,[אופירה ולוינסון ש.ח],2.9,02/11/2024,02/11/2024 10:21,02/11/2024 10:21,10,1730542500,2024,2812,7,קשת 12,50,1,1.2,1.1,1.05,1.25,1,1.25,1.25,3625,TRUE,TRUE,FALSE
