record_type,campaign_id,flight_id,name,advertiser,agency_id,status,starts_on,ends_on,goal_kind,goal_value,rebate_percent,surcharge_discount_percent,surcharge_weekdays,notes,created_at,created_by,data_source,channel,brand,category,budget_ils,bonus_ils,rating_goal_points,rating_goal_audience,price_model,priority,pacing_mode,is_demo,demo_note
campaign,CMP_D013,,2025-01 - כלמוביל - יונדאי — קמפיין ינואר - איוניק 5,כלמוביל,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,יונדאי,,27300.00,,355.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D013,CMP_D013_F1,2025-01 - כלמוביל - יונדאי — קמפיין ינואר - איוניק 5,,,,2025-04-27,2025-05-03,grp,355.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D014,,2025-01 - לבנת פורן המרכז למימוש זכויות רפואיות - לבנת פורן,המרכז למימוש זכויות רפואיות,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,27300.00,,55.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D014,CMP_D014_F1,2025-01 - לבנת פורן המרכז למימוש זכויות רפואיות - לבנת פורן,,,,2025-04-27,2025-05-03,grp,55.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D015,,2025-02 - כלמוביל - יונדאי — יונדאי וניו,כלמוביל,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,יונדאי,,22700.00,,120.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D015,CMP_D015_F1,2025-02 - כלמוביל - יונדאי — יונדאי וניו,,,,2025-04-27,2025-05-03,grp,120.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D016,,2025-02 - מדיפוד - סלייס,מדיפוד,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,סלייס,,11000.00,,40.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D016,CMP_D016_F1,2025-02 - מדיפוד - סלייס,,,,2025-04-27,2025-05-03,grp,40.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D017,,2025-02 - מי עדן - מי עדן סודה — מי עדן סודה חדש,מי עדן,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,מי עדן סודה,,49200.00,,55.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D017,CMP_D017_F1,2025-02 - מי עדן - מי עדן סודה — מי עדן סודה חדש,,,,2025-04-27,2025-05-03,grp,55.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D018,,2025-02 - פקטורי 54,פקטורי 54,AGY_04,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,39000.00,,165.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D018,CMP_D018_F1,2025-02 - פקטורי 54,,,,2025-04-27,2025-05-03,grp,165.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D019,,2025-03 - הפניקס סמארט — ביטוח רכב -סרטי המורה- מחליפות,הפניקס,AGY_03,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,91300.00,,70.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D019,CMP_D019_F1,2025-03 - הפניקס סמארט — ביטוח רכב -סרטי המורה- מחליפות,,,,2025-04-27,2025-05-03,grp,70.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D020,,2025-03 - פריסבי - צ'רי טיגו 8,פריסבי,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,צ'רי טיגו 8,,11100.00,,100.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D020,CMP_D020_F1,2025-03 - פריסבי - צ'רי טיגו 8,,,,2025-04-27,2025-05-03,grp,100.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D021,,2025-04 - אופטיקנה,אופטיקנה,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,209800.00,,125.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D021,CMP_D021_F1,2025-04 - אופטיקנה,,,,2025-04-27,2025-05-03,grp,125.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D022,,2025-04 - אסם - צבר — חסות יום העצמאות,אסם,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,צבר,,40400.00,,150.00,all_viewers,flat,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D022,CMP_D022_F1,2025-04 - אסם - צבר — חסות יום העצמאות,,,,2025-04-27,2025-05-03,grp,150.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D023,,2025-04 - ביטוח ישיר — ביטוח ישיר- סרט אג'נדה,ביטוח ישיר,AGY_03,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,124300.00,,65.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D023,CMP_D023_F1,2025-04 - ביטוח ישיר — ביטוח ישיר- סרט אג'נדה,,,,2025-04-27,2025-05-03,grp,65.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D024,,2025-04 - בנק הפועלים — קמפיין מתחתנים,בנק הפועלים,AGY_01,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,325700.00,,220.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D024,CMP_D024_F1,2025-04 - בנק הפועלים — קמפיין מתחתנים,,,,2025-04-27,2025-05-03,grp,220.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D025,,2025-04 - בנק מזרחי טפחות — אומגה,בנק מזרחי טפחות,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,146800.00,,200.00,all_viewers,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D025,CMP_D025_F1,2025-04 - בנק מזרחי טפחות — אומגה,,,,2025-04-27,2025-05-03,grp,200.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D026,,2025-04 - חן ואיתי גינדי וקבוצת שבירו - חן ואיתי גינדי,חן ואיתי גינדי,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,68300.00,,80.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D026,CMP_D026_F1,2025-04 - חן ואיתי גינדי וקבוצת שבירו - חן ואיתי גינדי,,,,2025-04-27,2025-05-03,grp,80.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D027,,2025-04 - טבע — דואגים למטפלים- איתי לוי,טבע,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,,,40.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D027,CMP_D027_F1,2025-04 - טבע — דואגים למטפלים- איתי לוי,,,,2025-04-27,2025-05-03,grp,40.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D028,,2025-04 - טבע — מיגרנה - טבעי שתשאלו בני משפחה 2025,טבע,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,73300.00,,95.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D028,CMP_D028_F1,2025-04 - טבע — מיגרנה - טבעי שתשאלו בני משפחה 2025,,,,2025-04-27,2025-05-03,grp,95.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D029,,2025-04 - טורנדו מוצרי צריכה - טורנדו — טורנדו אמיגו שירות,טורנדו מוצרי צריכה,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,טורנדו,,327600.00,,105.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D029,CMP_D029_F1,2025-04 - טורנדו מוצרי צריכה - טורנדו — טורנדו אמיגו שירות,,,,2025-04-27,2025-05-03,grp,105.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D030,,"2025-04 - טמפו - גולדסטאר — תשדירי 6"" גולדסטאר- אפריל 25",טמפו,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,גולדסטאר,,,,20.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D030,CMP_D030_F1,"2025-04 - טמפו - גולדסטאר — תשדירי 6"" גולדסטאר- אפריל 25",,,,2025-04-27,2025-05-03,grp,20.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
campaign,CMP_D031,,2025-04 - טמפו — הכי אנחנו,טמפו,AGY_02,active,2025-04-27,2025-05-03,,,,,,,2026-08-02T03:54:47+00:00,,demo_seed,רשת 13,,,21900.00,,20.00,all_viewers,cpp,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
flight,CMP_D031,CMP_D031_F1,2025-04 - טמפו — הכי אנחנו,,,,2025-04-27,2025-05-03,grp,20.00,,,,,2026-08-02T03:54:47+00:00,,,,,,,,,,,,,true,"Seed rule: the flight is the Israeli broadcast week, Sunday to Saturday, containing every airing observed in the traffic file. Seed rule: the budget and the rating goal are the observed figures scaled by flight days over sourced days. They are the seed's, not a signed insertion order."
