asset_id,campaign_id,advertiser,channel,house_number,version_name,spot_type,length_class,duration_seconds,media_url,media_state,video_format,aspect_ratio,loudness_lufs,loudness_standard,clearance_verdict,clearance_authority,clearance_checked_at,first_observed_on,last_observed_on,airings_observed,identity_source,source_file,is_demo,notes
CMP_D019_A01,CMP_D019,הפניקס,רשת 13,CID178545,סרט המורה נגזרת 15 מחליפה,פרסומת,commercial,33,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D020_A01,CMP_D020,פריסבי,רשת 13,HID178337,צ'רי טיגו 7 פלאגין הייבריד,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D021_A01,CMP_D021,אופטיקנה,רשת 13,CRP005591,נגזרת 30,פרסומת,commercial,46,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D022_A01,CMP_D022,אסם,רשת 13,HID178939,חסות יום העצמאות,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D023_A01,CMP_D023,ביטוח ישיר,רשת 13,CMK022716,34,פרסומת,commercial,34,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D024_A01,CMP_D024,בנק הפועלים,רשת 13,CGB007548,"סרט ראשי 35""",פרסומת,commercial,35,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D024_A02,CMP_D024,בנק הפועלים,רשת 13,HGB007549,חסות גרסא 1,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D024_A03,CMP_D024,בנק הפועלים,רשת 13,HGB007550,חסות גרסא 2,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D025_A01,CMP_D025,בנק מזרחי טפחות,רשת 13,CRP005597,נגזרת 33,פרסומת,commercial,33,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D025_A02,CMP_D025,בנק מזרחי טפחות,רשת 13,CRP005599,נגזרת 20,פרסומת,commercial,20,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D025_A03,CMP_D025,בנק מזרחי טפחות,רשת 13,HRP005600,חסות מחליפה קשת רשת,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D026_A01,CMP_D026,חן ואיתי גינדי,רשת 13,CID179004,סרט 15 ימי מכירות,פרסומת,commercial,15,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D027_A01,CMP_D027,טבע,רשת 13,CMK022703,"דואגים למטפלים - נגזרת 28""",פרסומת,commercial,28,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D028_A01,CMP_D028,טבע,רשת 13,CMK022707,"מי אמר שאי אפשר למנוע מיגרנה - סרט 21""",פרסומת,commercial,21,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D029_A01,CMP_D029,טורנדו מוצרי צריכה,רשת 13,CMK022719,טורנדו אמיגו ראשי 52״,פרסומת,commercial,52,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D030_A01,CMP_D030,טמפו,רשת 13,CID178894,טייל גולדסטאר עצלן,פרסומת,commercial,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D031_A01,CMP_D031,טמפו,רשת 13,CID178841,סרט עצלן,פרסומת,commercial,20,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D032_A01,CMP_D032,ישראל היום,רשת 13,CID178791,ישראל היום מלא,פרסומת,commercial,31,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D033_A01,CMP_D033,ישרוטל,רשת 13,CID178988,סרט עצמאות 2025 - 34׳,פרסומת,commercial,34,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D033_A02,CMP_D033,ישרוטל,רשת 13,HID178989,סרט עצמאות 2025 - 6׳,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D034_A01,CMP_D034,כלמוביל,רשת 13,CID178335,"יונדאי טוסון תדמית 20 שנה 22""",פרסומת,commercial,22,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D035_A01,CMP_D035,כלמוביל,רשת 13,CID179035,"מרצדס סטאר ליס 28""",פרסומת,commercial,28,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D035_A02,CMP_D035,כלמוביל,רשת 13,HID179039,"מרצדס סטאר ליס 6"" - מחליפה",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D036_A01,CMP_D036,מגדל,רשת 13,CGB007546,גמל להשקעה- מחליפה,פרסומת,commercial,34,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D036_A02,CMP_D036,מגדל,רשת 13,CGB007547,קרן השתלמות - מחליפה,פרסומת,commercial,34,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D036_A03,CMP_D036,מגדל,רשת 13,HGB007543,השקעה ישראלית יום העצמאות חסות,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D037_A01,CMP_D037,סלקום,רשת 13,CID179059,"נגזרת 36""",פרסומת,commercial,36,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,6,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D037_A02,CMP_D037,סלקום,רשת 13,HID179059,"חסות 6""",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D038_A01,CMP_D038,עד 120 מרכזי מגורים לאוכלוסיה המבוגרת,רשת 13,CID178836,28 מחליפה,פרסומת,commercial,28,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D038_A02,CMP_D038,עד 120 מרכזי מגורים לאוכלוסיה המבוגרת,רשת 13,CID178995,סרט 15,פרסומת,commercial,15,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D039_A01,CMP_D039,עוגן קרן להלוואות חברתיות,רשת 13,HID178681,עוגן- עסקית,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D040_A01,CMP_D040,"עמותת מל""י",רשת 13,CID178827,20 גרסה 2,פרסומת,commercial,20,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D041_A01,CMP_D041,פרוקטר & גמבל,רשת 13,CID178986,אריאל ענקי 30 שניות,פרסומת,commercial,30,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D042_A01,CMP_D042,פריסבי,רשת 13,CID178966,"סרט ארוך 45"" - מחליפה",פרסומת,commercial,45,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,5,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D042_A02,CMP_D042,פריסבי,רשת 13,HID178934,חסות מחליפה,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D043_A01,CMP_D043,צ'מפיון מוטורס,רשת 13,CID178930,סרט 20 מחליפה,פרסומת,commercial,20,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D044_A01,CMP_D044,קבוצת פומו,רשת 13,HID178776,CAPRI,חסות,sponsorship,7,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D045_A01,CMP_D045,"קופ""ח מאוחדת",רשת 13,CID178977,מחליפה - סרט מלא 35',פרסומת,commercial,36,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D045_A02,CMP_D045,"קופ""ח מאוחדת",רשת 13,HID178966,מחליפה - חסות,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D046_A01,CMP_D046,קליל תעשיות,רשת 13,CMK022702,26״ מחליפה,פרסומת,commercial,26,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D046_A02,CMP_D046,קליל תעשיות,רשת 13,CMK022708,15'',פרסומת,commercial,15,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D046_A03,CMP_D046,קליל תעשיות,רשת 13,HMK022708,לא סתם חלון,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D047_A01,CMP_D047,קרייזי ליין,רשת 13,CID178757,"מאסטר מסעדה- 15""",פרסומת,commercial,15,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D048_A01,CMP_D048,קרסו מוטורס,רשת 13,CID178897,20,פרסומת,commercial,20,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D048_A02,CMP_D048,קרסו מוטורס,רשת 13,HID178898,6,חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D049_A01,CMP_D049,רמי לוי שיווק השקמה,רשת 13,CMK022719,19״,פרסומת,commercial,19,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,3,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D050_A01,CMP_D050,שטראוס,רשת 13,CBB009841,מחליפה- ספינינג,פרסומת,commercial,19,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D050_A02,CMP_D050,שטראוס,רשת 13,CBB009842,מחליפה- ריצה,פרסומת,commercial,21,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,4,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D051_A01,CMP_D051,אובלי ערבויות,רשת 13,CID165799,"שכירות פרטית 11""",פרסומת,commercial,11,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D051_A02,CMP_D051,אובלי ערבויות,רשת 13,CID170632,מכרזים 11 שניות- אובלי יולי 24,פרסומת,commercial,11,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D051_A03,CMP_D051,אובלי ערבויות,רשת 13,CID170634,שכירות עסקית10 שניות- אובלי יולי 24,פרסומת,commercial,10,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,1,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
CMP_D051_A04,CMP_D051,אובלי ערבויות,רשת 13,HID165807,"חסות 6""קמפיין אובלי 2024",חסות,sponsorship,6,,unknown,,,,,unknown,,,2025-04-27,2025-04-27,2,traffic_log,Wally_Prime_Reshet_Example_2025-04-27.csv,true,
